food_id,food_name,food_category,key_components,common_interactions,interaction_mechanism,notes
F001,자몽,과일,푸라노쿠마린(bergamottin/6'7'-dihydroxybergamottin),CYP3A4 기질 약물,CYP3A4 효소 비가역적 억제로 약물 대사 감소,효과가 24-72시간 지속됨
F002,자몽주스,음료,푸라노쿠마린,CYP3A4 기질 약물,CYP3A4 효소 비가역적 억제,200ml로도 상호작용 발생 가능
F003,오렌지,과일,비타민C/플라보노이드,대부분 안전,해당없음,자몽 대체 과일로 권장
F004,오렌지주스,음료,비타민C,대부분 안전,해당없음,자몽주스 대체로 권장
F005,사과,과일,식이섬유/비타민,대부분 안전,해당없음,안전한 과일
F006,바나나,과일,칼륨/비타민B6,칼륨보존이뇨제,칼륨 과다로 고칼륨혈증 위험,칼륨보존이뇨제 복용시 주의
F007,술,알코올,에탄올,다수 약물,간 대사 영향/위장 자극/CNS 억제,대부분의 약물과 상호작용
F008,맥주,알코올,에탄올/홉,다수 약물,간 대사 영향/위장 자극,알코올 함유 음료
F009,와인,알코올,에탄올/티라민(적포도주),MAO억제제/다수 약물,간 대사 영향/티라민 함유,발효 알코올은 티라민 주의
F010,우유,유제품,칼슘/단백질,테트라사이클린/퀴놀론계항생제/갑상선호르몬제,칼슘이 약물과 결합하여 흡수 방해,복용 시간 분리 필요
F011,치즈,유제품,칼슘/티라민(숙성치즈),테트라사이클린/MAO억제제,칼슘 결합/티라민 함유,숙성치즈는 MAO억제제와 금기
F012,요거트,유제품,칼슘/프로바이오틱스,테트라사이클린/퀴놀론계항생제,칼슘이 약물과 결합,복용 시간 분리 필요
F013,커피,카페인음료,카페인,퀴놀론계항생제/갑상선호르몬제/리튬,카페인 대사 억제/약물 흡수 방해,카페인 과다 섭취 주의
F014,녹차,차류,카페인/비타민K/카테킨,와파린,비타민K가 항응고 작용 방해,일정량 유지 권장
F015,청국장,발효식품,비타민K2(높음)/나토키나제,와파린,비타민K가 항응고 작용 방해,와파린 복용시 금기
F016,낫토,발효식품,비타민K2(매우높음)/나토키나제,와파린,비타민K가 항응고 작용 강하게 방해,와파린 복용시 절대 금기
F017,시금치,녹색채소,비타민K/철분/엽산,와파린,비타민K가 항응고 작용 방해,일정량 규칙적 섭취 권장
F018,브로콜리,녹색채소,비타민K/식이섬유,와파린,비타민K가 항응고 작용 방해,일정량 규칙적 섭취 권장
F019,케일,녹색채소,비타민K(매우높음),와파린,비타민K가 항응고 작용 강하게 방해,와파린 복용시 소량만 섭취
F020,두유,콩제품,이소플라본/칼슘,갑상선호르몬제,이소플라본이 갑상선호르몬 흡수 방해,복용 시간 4시간 이상 분리
F021,두부,콩제품,이소플라본/칼슘,갑상선호르몬제,이소플라본이 흡수에 영향,복용 시간 분리 권장
F022,간장,발효식품,티라민/나트륨,MAO억제제,티라민이 고혈압 위기 유발,MAO억제제 복용시 주의
F023,마늘,향신료,알리신/아호엔,와파린/항혈소판제,항응고 작용 증강,보충제 형태로 다량 섭취시 주의
F024,감초,한약재,글리시리진,디곡신/이뇨제,저칼륨혈증 유발,심장약 복용시 피하기
F025,크랜베리주스,음료,프로안토시아니딘,와파린,와파린 대사 억제로 INR 상승,과다 섭취 주의
F026,고당분음식,당분,포도당/과당,당뇨약,혈당 상승,당뇨환자 섭취 제한
F027,고섬유질식품,섬유질,식이섬유,디곡신/일부 약물,약물 흡수 감소 가능,복용 시간 분리
F028,칼슘보충제,보충제,탄산칼슘/구연산칼슘,갑상선호르몬제/테트라사이클린/퀴놀론계,약물과 결합하여 흡수 차단,복용 시간 4시간 이상 분리
F029,철분제,보충제,황산철/푸마르산철,갑상선호르몬제/테트라사이클린/퀴놀론계,약물과 결합하여 흡수 차단,복용 시간 4시간 이상 분리
F030,소금대체제,조미료,염화칼륨,칼륨보존이뇨제/ACE억제제,고칼륨혈증 유발,칼륨관련 약물 복용시 금기
